,0
43,altbier
19,american adjunct lager
16,american amber / red ale
51,american amber / red lager
30,american barleywine
54,american black ale
20,american blonde ale
64,american brown ale
84,american dark wheat ale
4,american double / imperial ipa
81,american double / imperial pilsner
25,american double / imperial stout
13,american ipa
85,american malt liquor
10,american pale ale (apa)
8,american pale lager
47,american pale wheat ale
11,american porter
14,american stout
17,american strong ale
80,american wild ale
86,baltic porter
72,belgian dark ale
61,belgian ipa
26,belgian pale ale
12,belgian strong dark ale
31,belgian strong pale ale
96,berliner weissbier
103,biere de champagne / biere brut
73,biere de garde
75,black & tan
41,bock
93,braggot
58,california common / steam beer
77,chile beer
79,cream ale
59,czech pilsener
32,doppelbock
35,dortmunder / export lager
67,dubbel
69,dunkelweizen
95,eisbock
56,english barleywine
27,english bitter
22,english brown ale
57,english dark mild ale
42,english india pale ale (ipa)
60,english pale ale
89,english pale mild ale
28,english porter
78,english stout
1,english strong ale
37,euro dark lager
21,euro pale lager
36,euro strong lager
40,extra special / strong bitter (esb)
98,faro
63,flanders oud bruin
68,flanders red ale
2,foreign / export stout
24,fruit / vegetable beer
3,german pilsener
100,gose
99,gueuze
101,happoshu
0,hefeweizen
5,herbed / spiced beer
29,irish dry stout
76,irish red ale
74,japanese rice lager
71,keller bier / zwickel bier
44,kolsch
88,kristalweizen
97,kvass
90,lambic - fruit
94,lambic - unblended
6,light lager
38,low alcohol beer
33,maibock / helles bock
18,marzen / oktoberfest
48,milk / sweet stout
45,munich dunkel lager
87,munich helles lager
7,oatmeal stout
91,old ale
34,pumpkin ale
92,quadrupel (quad)
9,rauchbier
70,roggenbier
15,russian imperial stout
46,rye beer
102,sahti
55,saison / farmhouse ale
49,schwarzbier
23,scotch ale / wee heavy
52,scottish ale
82,scottish gruit / ancient herbed ale
66,smoked beer
62,tripel
50,vienna lager
39,weizenbock
83,wheatwine
65,winter warmer
53,witbier
